iupac,smiles,expt,calc
diethyl (2R)-2-dimethoxyphosphinothioylsulfanylbutanedioate,CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15,-11.194
hept-2-ene,CCCC/C=C/C,1.68,2.78
1-propoxypropane,CCCOCCC,-1.16,-0.004
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,2.89,2.542
nonan-5-one,CCCCC(=O)CCCC,-2.64,-2.364
pebulate,CCCCN(CC)C(=O)SCCC,-3.64,-4.573
hept-1-ene,CCCCCC=C,1.66,2.761
isopropyl formate,CC(C)OC=O,-2.02,-3.591
1-acetoxyethyl acetate,CC(OC(=O)C)OC(=O)C,-4.97,-8.006
isopentane,CCC(C)C,2.38,2.59
butyl nitrate,CCCCO[N+](=O)[O-],-2.09,-1.938
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl,-0.19,0.505
1-iodoheptane,CCCCCCCI,0.27,0.228
1-chloro-pentane,CCCCCCl,-0.1,1.084
isobutyl acetate,CC(C)COC(=O)C,-2.36,-2.896
"2,2-dimethylbutane",CCC(C)(C)C,2.51,2.495
methyl 2-cyanoacetate,COC(=O)CC#N,-6.72,-6.36
methanamine,CN,-4.55,-3.583
"(Z)-1,2-dichloroethylene",C(=C\Cl)\Cl,-1.17,1.156
hexan-2-one,CCCCC(=O)C,-3.28,-3.006
"1,2-dinitroxyethane",C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73,-6.227
triethylphosphate,CCOP(=O)(OCC)OCC,-7.5,-10.251
"2,2,2-trifluoroethanol",C(C(F)(F)F)O,-4.31,-3.809
1-butoxy-2-propanol,CCCCOC[C@H](C)O,-5.73,-3.891
propan-1-ol,CCCO,-4.85,-3.33
neopentane,CC(C)(C)C,2.51,2.506
pent-1-yne,CCCC#C,0.01,0.47
1-iodobutane,CCCCI,-0.25,-0.223
2-iodopropane,CC(C)I,-0.46,-0.492
111-trifluoropropan-2-ol,C[C@H](C(F)(F)F)O,-4.2,-3.486
propan-1-amine,CCCN,-4.39,-3.053
oct-2-enal,CCCCC/C=C/C=O,-3.43,-2.706
oct-1-yne,CCCCCCC#C,0.71,0.832
methyl octanoate,CCCCCCCC(=O)OC,-2.04,-3.035
1-chloroheptane,CCCCCCCCl,0.29,1.467
"4-methoxy-N,N-dimethyl-benzamide",CN(C)C(=O)c1ccc(cc1)OC,-11.01,-9.625
"3,5-dimethylphenol",Cc1cc(cc(c1)O)C,-6.27,-5.444
benzenethiol,c1ccc(cc1)S,-2.55,-1.501
ethoxybenzene,CCOc1ccccc1,-2.22,-2.254
4-bromophenol,c1cc(ccc1O)Br,-5.85,-5.833
benzonitrile,c1ccc(cc1)C#N,-4.1,-3.238
p-xylene,Cc1ccc(cc1)C,-0.8,-0.658
"N,N-dimethylbenzamide",CN(C)C(=O)c1ccccc1,-9.29,-8.113
4-tert-butylphenol,CC(C)(C)c1ccc(cc1)O,-5.91,-5.543
"1,2,4-trichlorobenzene",c1cc(c(cc1Cl)Cl)Cl,-1.12,-0.117
2-hydroxybenzaldehyde,c1ccc(c(c1)C=O)O,-4.68,-8.809
aniline,c1ccc(cc1)N,-5.49,-5.543
2-iodophenol,c1ccc(c(c1)O)I,-6.2,-3.221
"2,6-dimethoxyphenol",COc1cccc(c1O)OC,-6.96,-7.393
trifluoromethylbenzene,c1ccc(cc1)C(F)(F)F,-0.25,-0.57
"1,2-bis(trifluoromethyl)benzene",c1ccc(c(c1)C(F)(F)F)C(F)(F)F,1.07,-1.441
methyl paraben,COC(=O)c1ccc(cc1)O,-9.51,-9.785
pentylbenzene,CCCCCc1ccccc1,-0.23,-0.094
3-methoxyphenol,COc1cccc(c1)O,-7.66,-6.969
phenylmethanol,c1ccc(cc1)CO,-6.62,-5.133
"2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07,-9.029
"N-methyl-N-(2,2,2-trifluoroethyl)aniline",CN(CC(F)(F)F)c1ccccc1,-1.92,-3.964
m-xylene,Cc1cccc(c1)C,-0.83,-0.697
trimethoxymethylbenzene,COC(c1ccccc1)(OC)OC,-4.04,-5.559
ethyl benzoate,CCOC(=O)c1ccccc1,-3.64,-4.597
benzyl bromide,c1ccc(cc1)CBr,-2.38,-1.853
3-hydroxybenzonitrile,c1cc(cc(c1)O)C#N,-9.65,-7.739
propylbenzene,CCCc1ccccc1,-0.53,-0.511
4-chlorophenol,c1cc(ccc1O)Cl,-7.03,-5.373
"3,5-dichloro-2,6-dimethoxyphenol",COc1c(cc(c(c1O)OC)Cl)Cl,-6.44,-5.98
methylsulfanylbenzene,CSc1ccccc1,-2.73,-1.325
2-ethylphenol,CCc1ccccc1O,-5.66,-4.768
1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C,-0.68,-0.456
"1,2-dichlorobenzene",c1ccc(c(c1)Cl)Cl,-1.36,-0.553
ethylbenzene,CCc1ccccc1,-0.79,-0.606
benzaldehyde,c1ccc(cc1)C=O,-4.02,-5.058
1-(p-tolyl)ethanone,Cc1ccc(cc1)C(=O)C,-4.7,-4.91
1-chloro-2-methyl-benzene,Cc1ccccc1Cl,-1.14,-0.473
butylbenzene,CCCCc1ccccc1,-0.4,-0.227
"N,N-dimethylaniline",CN(C)c1ccccc1,-3.45,-4.426
N-methylaniline,CNc1ccccc1,-4.69,-5.719
benzene,c1ccccc1,-0.9,-0.806
"1,2,3-trichlorobenzene",c1cc(c(c(c1)Cl)Cl)Cl,-1.24,-0.51
4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,-7.024
butyl paraben,CCCCOC(=O)c1ccc(cc1)O,-8.72,-8.771
4-ethylphenol,CCc1ccc(cc1)O,-6.13,-5.453
phenyl formate,c1ccc(cc1)OC=O,-3.82,-5.442
fluorobenzene,c1ccc(cc1)F,-0.8,-0.041
acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O,-9.94,-9.399
3-hydroxybenzaldehyde,c1cc(cc(c1)O)C=O,-9.52,-9.369
"2,6-dimethylphenol",Cc1cccc(c1O)C,-5.26,-4.308
m-cresol,Cc1cccc(c1)O,-5.49,-5.378
4-methylaniline,Cc1ccc(cc1)N,-5.57,-5.494
"1,3-dichlorobenzene",c1cc(cc(c1)Cl)Cl,-0.98,-0.11
cumene,CC(C)c1ccccc1,-0.3,-0.674
"2,6-dichlorosyringaldehyde",COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68,-9.846
methyl 4-nitrobenzoate,COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88,-6.588
"1,2,3-trimethylbenzene",Cc1cccc(c1C)C,-1.21,-0.883
benzyl chloride,c1ccc(cc1)CCl,-1.93,-1.742
4-methyl-2-methoxyphenol,Cc1ccc(c(c1)OC)O,-5.8,-4.547
toluene,Cc1ccccc1,-0.9,-0.79
ethyl paraben,CCOC(=O)c1ccc(cc1)O,-9.2,-9.535
4-propylphenol,CCCc1ccc(cc1)O,-5.21,-5.211
3-methoxyaniline,COc1cccc(c1)N,-7.29,-7.201
alachlor,CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21,-6.851
iodobenzene,c1ccc(cc1)I,-1.74,-1.057
4-propylguaiacol,CCCc1ccc(c(c1)OC)O,-5.26,-4.127
1-bromo-4-methyl-benzene,Cc1ccc(cc1)Br,-1.39,-0.894
4-hydroxybenzonitrile,c1cc(ccc1C#N)O,-10.17,-8.39
3-ethylphenol,CCc1cccc(c1)O,-6.25,-5.272
"1,4-dibromobenzene",c1cc(ccc1Br)Br,-2.3,-1.091
dicamba,COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86,-8.658
"1,2-dimethoxybenzene",COc1ccccc1OC,-5.33,-4.055
"3,4-dichlorophenol",c1cc(c(cc1O)Cl)Cl,-7.29,-5.139
anisole,COc1ccccc1,-2.45,-2.318
"2,5-dimethylphenol",Cc1ccc(c(c1)O)C,-5.91,-5.014
"1,4-dichlorobenzene",c1cc(ccc1Cl)Cl,-1.01,-0.19
"1,2,3,4-tetrachlorobenzene",c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34,-0.304
chlorobenzene,c1ccc(cc1)Cl,-1.12,-0.475
2-nitroaniline,c1ccc(c(c1)N)[N+](=O)[O-],-7.37,-7.66
nitrobenzene,c1ccc(cc1)[N+](=O)[O-],-4.12,-3.46
2-methylaniline,Cc1ccccc1N,-5.53,-5.325
1-ethyl-4-methyl-benzene,CCc1ccc(cc1)C,-0.95,-0.575
hexylbenzene,CCCCCCc1ccccc1,-0.04,-0.1
2-chlorosyringaldehyde,COc1cc(c(c(c1O)OC)Cl)C=O,-7.78,-8.292
m-bis(trifluoromethyl)benzene,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07,-0.34
4-fluorophenol,c1cc(ccc1O)F,-6.19,-4.955
2-chloroaniline,c1ccc(c(c1)N)Cl,-4.91,-4.847
"1,2,4-trimethylbenzene",Cc1ccc(c(c1)C)C,-0.86,-0.795
1-ethyl-2-methylbenzene,CCc1ccccc1C,-0.85,-0.761
"2,3-dimethylphenol",Cc1cccc(c1C)O,-6.16,-5.148
methylparathion,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19,-10.466
diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74,-9.211
"1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66,-7.503
