smiles,ESOL predicted log solubility in mols per litre
CCCCCCCCCCCCO,-3.523
CCCC(C)(C)O,-1.308
CCCCCC(C)(C)O,-2.017
C,-0.636
CCC(C)C(=O)C,-1.266
CN(=O)=O,-0.042
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-4.578
C=CCCC=C,-2.112
CCCCC=C,-2.364
CCCCCCCC(=O)C,-2.263
C#C,-0.252
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-3.738
CC(Cl)CCl,-1.794
CCCC=C(CC)C=O,-2.081
CCOP(=S)(OCC)SCCSCC,-3.975
CCCCCCCCCCCCCCCO,-4.586
CC(C)I,-2.486
CC(C)C(=O)C,-0.912
CCCCCCCCCCCCCCCC,-6.159
CCCCCCC(=O)C,-1.909
CCCCCCCCC(=O)OC,-2.962
CCO,0.02
CCCCCCCCBr,-3.721
CCC(O)CC,-0.97
CC(C)CCCO,-1.381
CCC(C)(C)O,-0.954
CCOC=O,-0.402
CCCCS,-1.676
ClC(=C(Cl)Cl)Cl,-3.063
CCC(=O)CC,-0.912
C=CC#N,-0.354
CCCCC(=O)C,-1.2
CCCCC(C)CC,-3.308
BrCCBr,-2.102
COC(=O)C=C,-0.878
CCC(O)(CC)CC,-1.663
CC(C)C(=O)C(C)C,-1.752
CSSC,-1.524
CCCCC(O)CC,-1.678
CCCCC(CC)CO,-2.089
CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,-3.827
CN(C)C(=S)SSC(=S)N(C)C ,-2.444
CCCCCCCCCCO,-2.814
CCC(C)(C)CC,-2.938
CNC(=O)C(C)SCCSP(=O)(OC)(OC),-1.446
CCCC=O,-0.749
CCCC,-1.907
ClC(Cl)C(Cl)(Cl)Cl,-3.382
CC(C)CO,-0.672
ICI,-2.958
CCCC(O)CCC,-1.678
CCCCCOC(=O)C,-1.833
FC(F)(Cl)C(F)(F)Cl,-2.697
CC=CC=O,-0.604
CN(C)C(=O)N(C)C ,-0.495
CCN(CC)C(=S)SCC(Cl)=C,-3.254
ClCC,-1.165
CC/C=C\C,-2.076
CNC(=O)ON=C(CSC)C(C)(C)C ,-2.7
CCCCCCCCCCCCCCCCCCCC,-7.576
CCC(CC)CO,-1.381
Cl\C=C/Cl,-1.561
CC(C)CC(C)O,-1.308
CC(C)(C)CO,-1.011
CC=C,-1.235
CCCCCCC(C)O,-2.033
CC(C)COC(=O)C,-1.463
CC(C)C(C)(C)C,-2.922
FC(F)(F)C(Cl)Br ,-2.608
CNC(=O)ON=C(SC)C(=O)N(C)C,-0.908
CCSCCSP(=S)(OC)OC,-3.323
CCC(C)C,-2.245
N#Cc1ccccc1,-2.03
CCOc1ccc(NC(=O)C)cc1,-2.342
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-4.479
CCc1ccc(CC)cc1,-3.633
CN(C)C(=O)SCCCCOc1ccccc1,-3.297
CC(=O)Nc1ccc(Br)cc1,-3.012
Cc1ccccc1O,-2.281
Nc1ccc(O)cc1,-1.231
Cc1ccc(C)cc1,-3.035
CCc1ccccc1CC,-3.601
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.322
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-3.995
CC(C)c1ccccc1,-3.265
Oc1ccccc1N(=O)=O,-2.318
Oc1c(I)cc(C#N)cc1I,-4.615
c1ccccc1O,-1.991
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-5.106
CCCCCCc1ccccc1,-4.22
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.168
Oc1cccc(c1)N(=O)=O,-2.318
CCSCc1ccccc1OC(=O)NC ,-2.855
CC(C)(C)c1ccc(O)cc1,-3.192
Clc1cccc(I)c1,-4.384
Cc1cccc(C)c1,-3.035
Oc1cccc(O)c1,-1.59
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.148
Cc1ccc(Cl)cc1,-3.297
CCCCOC(=O)c1ccc(N)cc1,-3.039
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.063
Clc1ccc(Cl)c(Cl)c1Cl,-4.546
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.225
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.621
Nc1ccccc1O,-1.465
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-2.87
CNC(=O)Oc1ccccc1OC(C)C,-2.409
Cc1ccccc1Cl,-3.297
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.557
Fc1ccccc1,-2.514
Cc1cc(C)c(C)c(C)c1C,-3.993
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.828
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.604
CNC(=O)Oc1cccc(N=CN(C)C)c1,-1.846
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.265
NC(=S)Nc1ccccc1,-1.701
Oc1ccc(Cl)cc1,-2.761
Cc1cccc(N)c1,-1.954
CCOC(=O)c1ccc(N)cc1,-2.383
Clc1ccc(Cl)c(Cl)c1,-4.083
Oc1ccccc1O,-1.635
Cc1ccccc1Br,-3.667
CCNc1ccccc1,-2.389
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.671
Brc1cc(Br)c(Br)cc1Br,-6.001
COc1ccc(Cl)cc1,-3.057
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-3.845
NC(=O)c1ccccc1O,-1.942
Cc1ccccc1N(=O)=O,-2.589
CCc1ccccc1C,-3.296
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.378
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-4.299
COc1ccc(cc1)N(=O)=O,-2.522
Nc1ccc(cc1)S(N)(=O)=O,-0.954
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-5.306
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.538
Clc1cccc(Cl)c1Cl,-4.008
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.448
CCOc1ccc(NC(N)=O)cc1,-2.167
COc1ccc(C=CC)cc1,-3.254
CC(C)c1ccc(NC(=O)N(C)C)cc1,-2.867
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-2.606
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.99
CC(C)c1ccccc1C,-3.585
Nc1cccc(Cl)c1,-2.392
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.065
Cc1cccc(O)c1,-2.313
O=N(=O)c1ccc(cc1)N(=O)=O,-2.281
CN(C)C(=O)Nc1ccccc1,-1.847
ClCc1ccccc1,-2.887
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.938
CC(=O)Nc1ccc(F)cc1,-2.181
CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.319
Clc1ccc(cc1)N(=O)=O,-2.901
Clc1ccccc1N(=O)=O,-2.775
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.157
O=N(=O)c1ccccc1,-2.288
Ic1ccccc1,-3.8
COc1ccccc1OCC(O)COC(N)=O,-1.428
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.347
Oc1cccc(Cl)c1Cl,-3.144
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.644
Cc1ccc(N)cc1,-1.954
c1ccccc1(OC(=O)NC),-1.947
Cc1cccc(C)c1C,-3.312
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.677
Oc1c(Br)cc(C#N)cc1Br ,-3.793
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.835
NC(=O)NCc1ccccc1 ,-1.509
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.048
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.581
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,-1.936
Oc1ccc(cc1)N(=O)=O,-2.318
Nc1ccccc1N(=O)=O,-2.277
Cc1c(cccc1N(=O)=O)N(=O)=O,-2.553
c1(Br)c(Br)cc(Br)cc1,-5.144
c1(O)c(C)ccc(C(C)C)c1,-3.224
CN(C)C=Nc1ccc(Cl)cc1C,-3.164
Nc1ccc(cc1)N(=O)=O,-1.936
Clc1ccccc1,-2.975
Brc1ccc(I)cc1,-4.754
CCCCCc1ccccc1,-3.899
Oc1ccc(Cl)c(Cl)c1,-3.352
CCN(CC)c1ccccc1,-3.16
Fc1cccc(F)c1,-2.636
CC(C)(C)Cc1ccccc1,-3.867
Clc1ccccc1I,-4.384
Cc1cccc(C)c1O,-2.589
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.188
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,-3.431
OCc1ccccc1,-1.699
Oc1ccc(Br)cc1,-3.132
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.324
Brc1ccc(Br)cc1,-4.298
Clc1ccc(Cl)cc1,-3.558
Clc1cc(Cl)cc(Cl)c1,-4.159
O=Cc1ccccc1,-1.999
NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,-0.706
COC(=O)c1ccc(O)cc1,-2.441
Cc1ccc(O)c(C)c1,-2.621
Clc1cccc(c1)N(=O)=O,-2.901
FC(F)(F)c1ccccc1,-3.099
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-5.758
COC(=O)c1ccccc1C(=O)OC,-2.347
Clc1cc(Cl)c(Cl)cc1Cl,-4.621
Nc1ccccc1Cl,-2.392
COc1cccc(Cl)c1,-3.057
Oc1ccc(C=O)cc1,-2.003
Fc1ccccc1Br,-3.467
Oc1ccc(Cl)cc1Cl,-3.22
Cc1ccccc1N,-1.922
c1(OC)ccc(CC=C)cc1,-3.074
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 ,-2.655
Clc1ccccc1Cl,-3.482
Nc1cccc(c1)N(=O)=O,-1.936
Oc1cc(Cl)cc(Cl)c1Cl,-3.78
Nc1ccccc1,-1.632
Brc1cc(Br)cc(Br)c1,-5.27
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.247
COc1cc(CC=C)ccc1O,-2.675
Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.098
COC(=O)c1cc(O)c(O)c(O)c1 ,-1.913
Fc1cccc(Br)c1,-3.467
Clc1ccc(Br)cc1,-3.928
COc1ccccc1N(=O)=O,-2.346
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O ,-3.715
COc1ccccc1O ,-1.941
Oc1ccc(Cl)c(Cl)c1Cl,-3.705
COc1ccccc1,-2.368
CCc1ccc(C)cc1,-3.328
O=N(=O)c1cccc(c1)N(=O)=O,-2.281
Nc1ccc(Cl)cc1,-2.392
CC(C)(C)c1ccccc1,-3.554
Brc1ccccc1,-3.345
CCOC(=O)c1ccc(O)cc1,-2.761
COC(=O)c1ccccc1,-2.462
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.301
Oc1ccccc1Cl,-2.553
CCOc1ccccc1,-2.66
CCOC(=O)C=Cc1ccccc1,-3.098
Cc1ccc(cc1)S(=O)(=O)N,-1.815
CC(OC(=O)Nc1cccc(Cl)c1)C#C,-3.629
CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,-3.283
Cc1ccc(C)c(C)c1,-3.343
Oc1cc(Cl)c(Cl)cc1Cl,-3.78
NNc1ccccc1,-1.866
Oc1c(Cl)ccc(Cl)c1Cl,-3.572
Brc1cccc(Br)c1,-4.298
CC(=O)Nc1ccccc1,-1.857
CC(=O)c1ccccc1,-2.078
CCCOC(=O)c1ccc(N)cc1,-2.709
CCOC(=O)c1ccccc1,-2.775
CON(C)C(=O)Nc1ccc(Cl)cc1,-2.948
Cc1ccc(Br)cc1,-3.667
CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.205
Cc1cc(C)c(O)c(C)c1,-2.941
c1ccccc1,-2.418
Clc1ccc(I)cc1,-4.384
COc1ccc(NC(=O)N(C)C)cc1Cl,-2.683
CC(C)N(C(=O)CCl)c1ccccc1 ,-3.018
C=Cc1ccccc1,-2.85
Cc1ccccc1C,-3.004
Oc1ccc(O)cc1,-1.59
c1(O)cc(O)ccc1CCCCCC,-3.493
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-4.203
Clc1cccc(Cl)c1,-3.558
c1ccccc1SC,-2.87
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-7.117
Cc1cc(C)cc(O)c1,-2.652
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.16
CC(=O)Nc1ccc(Cl)cc1,-2.642
CNc1ccccc1,-2.097
Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,-2.818
Oc1cccc(Cl)c1,-2.761
Clc1cccc(Br)c1,-3.928
OCCOc1ccccc1,-1.761
CCc1ccccc1,-2.988
CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.199
COc1ccc(C=O)cc1,-2.252
CC(=O)Nc1ccc(cc1)N(=O)=O,-2.219
CC(=O)Nc1ccc(O)cc1,-1.495
CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC ,-5.128
Cc1c(C)c(C)c(C)c(C)c1C,-4.361
CC(C)c1ccc(C)cc1O,-3.129
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-3.949
CC(C)OC(=O)Nc1cccc(Cl)c1,-3.544
CC(O)c1ccccc1,-1.919
c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,-7.117
Cc1cc(C)cc(C)c1,-3.375
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC ,-7.148
O=N(=O)c1ccccc1N(=O)=O,-2.281
Fc1ccc(F)cc1,-2.636
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.205
c1c(NC(=O)OC(C)C(=O)NCC)cccc1,-2.29
Cc1ccc(cc1)N(=O)=O,-2.64
Cc1ccc(O)cc1,-2.313
CN(C)c1ccccc1,-2.542
CNC(=O)Oc1ccccc1C(C)C,-2.734
COc1ccccc1Cl,-2.912
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,-5.604
CC(C)c1ccc(C)cc1,-3.617
Oc1c(Cl)cccc1Cl,-3.012
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,-2.613
Brc1ccccc1Br,-4.172
Oc1c(Cl)cc(Cl)cc1Cl,-3.648
CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,-3.784
Cc1ccc(O)cc1C,-2.621
Sc1ccccc1,-2.758
CNC(=O)Oc1cc(C)cc(C)c1,-2.688
NC(=O)c1ccccc1,-1.501
Clc1ccccc1Br,-3.84
Oc1cc(Cl)cc(Cl)c1,-3.428
Cc1ccccc1,-2.713
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,-4.335
COc1ccccc1O,-1.941
CCOC(=O)c1ccccc1C(=O)OCC,-3.016
CC(C)Cc1ccccc1,-3.57
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,-4.203
CCCc1ccccc1,-3.281
Cc1cc(C)c(C)cc1C,-3.664
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,-3.165
c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,-4.642
CCCCc1ccccc1,-3.585
N#Cc1ccccc1C#N,-1.717
Cc1cccc(c1)N(=O)=O,-2.64
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-4.32
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,-6.545
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,-6.627
c1c(Cl)cccc1c2ccccc2,-4.685
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.185
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.304
Clc1ccccc1c2ccccc2Cl ,-4.984
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-5.762
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-6.312
Clc1ccccc1c2ccccc2,-4.528
Clc1ccc(cc1)c2ccccc2Cl ,-5.142
Clc1ccc(cc1)c2ccc(Cl)cc2 ,-5.299
Cc1ccc(cc1)c2ccccc2,-4.424
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-8.468
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-6.709
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-5.686
Clc1ccc(cc1Cl)c2ccccc2 ,-5.223
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-6.079
Oc1ccc(cc1)c2ccccc2,-3.701
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.23
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,-6.709
Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-7.192
Nc1ccc(cc1)c2ccc(N)cc2,-2.613
Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,-6.785
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-9.589
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.898
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.343
Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,-6.155
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.261
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.425
c1ccc(cc1)c2ccccc2,-4.079
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,-7.179
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.898
Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-5.762
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.343
Clc1cccc(Cl)c1c2ccccc2 ,-4.984
Clc1ccc(cc1)c2c(Cl)cccc2Cl ,-5.604
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,-5.915
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl ,-7.343
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ,-7.746
Clc1ccc2ccccc2c1,-4.063
Cc1ccc(C)c2ccccc12,-4.147
Cc1cc(C)c2ccccc2c1,-4.147
CCc1cccc2ccccc12,-4.1
Brc1cccc2ccccc12,-4.434
Nc1cccc2ccccc12,-2.721
Oc1ccc2ccccc2c1,-3.08
c1c(Br)ccc2ccccc12 ,-4.434
c1ccc2ccccc2c1,-3.468
Ic1cccc2ccccc12,-4.889
